1,"research,model"
1,"organizational,value"
1,"unique,value-creation,driver"
1,"service,quality"
1,"business,level"
1,"resource,management,framework"
1,"organizational,core,values"
1,"practical,element"
1,"organizational,core,values"
1,"conceptual,element"
1,"—optimizes,employee,engagement"
1,"turn,enhances,productivity"
1,"service,quality"
1,"two-time-point,panel,data"
1,"different,sources"
1,"financial,data"
1,"secret,shoppers"
1,"retail,stores"
1,"example,improves,productivity"
1,"service,quality"
1,"potential,influence"
1,"charismatic,leadership"
1,"indirect,effect"
1,"service,quality"
1,"organizational,core,values"
2,"status-asymmetric,ties"
2,"venture,capital,firms"
2,"venture,’,s,performance,trajectory"
2,"powerful,antecedent"
2,"upward-status,asymmetries"
2,"lower-status,actor"
2,"downward-status,asymmetries"
2,"higher-status,actor"
2,"lower-status,firms"
2,"higher-status,alters"
2,"performance,trajectory"
2,"whereas,higher-status,firms"
2,"lower-status,alters"
2,furthermore
2,"market,heat"
2,"longitudinal,analysis"
2,"venture,capital,syndication,patterns"
2,"lower-status,lead,investors"
2,"higher-status,followers"
2,"good,ventures"
2,"hot,markets"
2,"heighten,market,participants,’"
2,"external,context"
2,"status-asymmetric,relationships"
3,"common,prediction"
3,"practice,diffusion"
3,"“,strength"
3,"numbers,”,effect"
3,"past,adopters"
3,"future,adopters"
3,"theoretical,perspective"
3,"practice,prevalence"
3,"“,weakness"
3,"numbers,”,effect"
3,specifically
3,"reverse,mergers"
3,rms
3,"controversial,practice"
3,"private,firm"
3,"“,shell,company,”,—we"
3,"complex,way"
3,"social,influence,pathways"
3,"positive,effect"
3,"practice,prevalence"
3,"potential,adopters"
3,"view,prevalence"
3,"practice,’,s,value"
3,"negative,effect"
3,"third-party,evaluators"
3,"view,prevalence"
3,"theoretical,framework"
3,"past,adopters,exerts"
3,"negative,effect"
3,"social,influence,pathways"
3,employing
3,"structural,equation"
3,"future,research"
3,"practice,diffusion"
4,researchers
4,"organizational,leaders"
4,"human,capital"
4,hc
4,"organizational,success"
4,hc
4,hc
4,"competitive,advantage"
4,wolfson
4,mathieu
4,"’,s"
4,"capital,resource,complementarity"
4,hcrc
4,hcrs
4,"capital,resources"
4,scrs
4,"members,’"
4,"team,task-specific,experience"
4,hcrc
4,teams
4,"cycliste,internationale"
4,tour
4,hcr
4,hcr
4,hcr
4,"situational,characteristics"
4,furthermore
4,scrs
4,"critical,boundary,condition"
4,hcrs
4,"situational,characteristics"
4,hcrs
4,"high,levels"
4,scrs
4,implications
4,"future,theory,building"
4,hcr
5,guided
5,"institutional,theory"
5,"important,questions"
5,"performance,consequences"
5,"firm,performance"
5,"primary,data"
5,york
5,"stock,exchange"
5,"37-year,period"
5,"key,antecedents"
5,"prominent,role"
5,"reflect,efficiency,considerations"
5,"company,performance"
5,"managerial,foresight"
5,"institutional,forces"
5,"political,uncertainty"
5,"neo-institutional,theory,suggests"
5,"performance,plays"
5,"central,role"
5,"evidence,suggests"
5,"current-year,performance"
5,"company,performance"
5,"subsequent,firm,performance"
5,"institutional,theory"
6,"different,dimensions"
6,"different,dimensions"
6,specifically
6,"positive,capability,signals"
6,"organizational,misconduct"
6,"negative,integrity,signal"
6,"causes,interdimensional,incongruence"
6,"positive,capability,signals"
6,"financial,restatements"
6,"negative,integrity,signals"
6,"alliance,announcements"
6,"positive,capability,signals"
6,"alliance,announcements"
6,"positive,expectations"
6,"firm,size"
6,"negative,effects"
6,"organizational,misconduct"
7,"test,theory"
7,"supervisor-employee,dyads"
7,employees
7,"proactive,personality"
7,"early,stages"
7,"subsequent,path"
7,"voice,takes—that"
7,"positive,trajectory"
7,"negative,trajectory—is"
7,"proactive,personality"
7,"supervisors,’,proactive,personality"
7,"low,congruence"
7,"initial,voice"
7,"positive,voice,trajectory"
7,"negative,trajectory"
7,employees
7,"proactive,personality"
7,congruence
7,"proactive,personality"
7,dyadic
7,"proactive,personality"
7,"positive,trend"
7,"voice,growth"
8,drawing
8,"competitive,dynamics"
8,"technological,overlap"
8,"parent,firms,influences"
8,"corporate,investors,’,decisions"
8,"high,level"
8,"technological,overlap"
8,"parent,firm,deters,potential"
8,"corporate,investors"
8,"competitive,tension"
8,"hostile,actions"
8,"parent,firm"
8,"negative,effects"
8,"competitive,risks"
8,"negative,effects"
8,"parent,firms"
8,"strong,litigiousness"
8,"intellectual,property,rights"
8,"negative,effects"
8,"corporate,investors"
8,"indirect,access"
8,"parent,firms,’,technological,knowledge"
8,"corporate,venture,capital,investments"
8,u.s.
8,"medical,device,industry"
9,"nascent,literature"
9,"job,performance"
9,"supervisors,trust"
9,recent
9,drawing
9,"low,levels"
9,"employee,’,s,desire"
9,"overall,fairness,perceptions"
9,"employee,performance"
