Article ID,Noun Phrase,FoundInTitle,FoundInAbstract
37,"perfect,attendance",0,1
37,"social,norm",0,1
37,"retrospective,award,suggests",0,1
37,"prospective,awards",0,1
37,"crowding-out,effect",0,1
37,contrary,0,1
37,survey,0,1
37,"target,behavior",0,1
37,"organizational,leaders,’,expectations",0,1
37,"common,types",0,1
37,"subsequent,attendance",0,1
37,"empirical,studies",0,1
37,u.s.,0,1
37,"surprise,awards",0,1
37,"significant,negative,effect",0,1
37,"awards,motivate,student,attendance",0,1
37,"retrospective,awards",0,1
37,"symbolic,awards",0,1
37,"individual,behavior",0,1
37,"prospective,incentives",0,1
37,"field,experiment",0,1
1,"service,quality",1,0
1,"resource,management,framework",1,0
1,"research,model",1,0
1,"organizational,core,values",1,0
1,"different,sources",1,0
1,"retail,stores",1,0
1,"charismatic,leadership",1,0
1,"business,level",1,0
1,"potential,influence",1,0
1,"two-time-point,panel,data",1,0
1,"indirect,effect",1,0
1,"—optimizes,employee,engagement",1,0
1,"practical,element",1,0
1,"example,improves,productivity",1,0
1,"turn,enhances,productivity",1,0
1,"conceptual,element",1,0
1,"financial,data",1,0
1,"organizational,value",1,0
1,"secret,shoppers",1,0
1,"unique,value-creation,driver",1,0
1,"service,quality",1,0
1,"resource,management,framework",1,0
1,"research,model",1,0
1,"organizational,core,values",1,0
1,"different,sources",1,0
1,"retail,stores",1,0
1,"charismatic,leadership",1,0
1,"business,level",1,0
1,"potential,influence",1,0
1,"two-time-point,panel,data",1,0
1,"indirect,effect",1,0
1,"—optimizes,employee,engagement",1,0
1,"practical,element",1,0
1,"example,improves,productivity",1,0
1,"turn,enhances,productivity",1,0
1,"conceptual,element",1,0
1,"financial,data",1,0
1,"organizational,value",1,0
1,"secret,shoppers",1,0
1,"unique,value-creation,driver",1,0
1,"service,quality",1,0
1,"resource,management,framework",1,0
1,"research,model",1,0
1,"organizational,core,values",1,0
1,"different,sources",1,0
1,"retail,stores",1,0
1,"charismatic,leadership",1,0
1,"business,level",1,0
1,"potential,influence",1,0
1,"two-time-point,panel,data",1,0
1,"indirect,effect",1,0
1,"—optimizes,employee,engagement",1,0
1,"practical,element",1,0
1,"example,improves,productivity",1,0
1,"turn,enhances,productivity",1,0
1,"conceptual,element",1,0
1,"financial,data",1,0
1,"organizational,value",1,0
1,"secret,shoppers",1,0
1,"unique,value-creation,driver",1,0
1,"service,quality",1,0
1,"resource,management,framework",1,0
1,"research,model",1,0
1,"organizational,core,values",1,0
1,"different,sources",1,0
1,"retail,stores",1,0
1,"charismatic,leadership",1,0
1,"business,level",1,0
1,"potential,influence",1,0
1,"two-time-point,panel,data",1,0
1,"indirect,effect",1,0
1,"—optimizes,employee,engagement",1,0
1,"practical,element",1,0
1,"example,improves,productivity",1,0
1,"turn,enhances,productivity",1,0
1,"conceptual,element",1,0
1,"financial,data",1,0
1,"organizational,value",1,0
1,"secret,shoppers",1,0
1,"unique,value-creation,driver",1,0
37,"perfect,attendance",0,1
37,"social,norm",0,1
37,"retrospective,award,suggests",0,1
37,"prospective,awards",0,1
37,"crowding-out,effect",0,1
37,contrary,0,1
37,survey,0,1
37,"target,behavior",0,1
37,"organizational,leaders,’,expectations",0,1
37,"common,types",0,1
37,"subsequent,attendance",0,1
37,"empirical,studies",0,1
37,u.s.,0,1
37,"surprise,awards",0,1
37,"significant,negative,effect",0,1
37,"awards,motivate,student,attendance",0,1
37,"retrospective,awards",0,1
37,"symbolic,awards",0,1
37,"individual,behavior",0,1
37,"prospective,incentives",0,1
37,"field,experiment",0,1
2,"hot,markets",1,0
2,"performance,trajectory",1,0
2,"longitudinal,analysis",1,0
2,"higher-status,actor",1,0
2,"lower-status,alters",1,0
2,"lower-status,actor",1,0
2,"venture,capital,firms",1,0
2,"market,heat",1,0
2,"higher-status,followers",1,0
2,"whereas,higher-status,firms",1,0
2,"status-asymmetric,relationships",1,0
2,"lower-status,firms",1,0
2,"venture,capital,syndication,patterns",1,0
2,"venture,’,s,performance,trajectory",1,0
2,"heighten,market,participants,’",1,0
2,furthermore,1,0
2,"status-asymmetric,ties",1,0
2,"lower-status,lead,investors",1,0
2,"external,context",1,0
2,"higher-status,alters",1,0
2,"powerful,antecedent",1,0
2,"downward-status,asymmetries",1,0
2,"upward-status,asymmetries",1,0
2,"good,ventures",1,0
2,"hot,markets",1,0
2,"performance,trajectory",1,0
2,"longitudinal,analysis",1,0
2,"higher-status,actor",1,0
2,"lower-status,alters",1,0
2,"lower-status,actor",1,0
2,"venture,capital,firms",1,0
2,"market,heat",1,0
2,"higher-status,followers",1,0
2,"whereas,higher-status,firms",1,0
2,"status-asymmetric,relationships",1,0
2,"lower-status,firms",1,0
2,"venture,capital,syndication,patterns",1,0
2,"venture,’,s,performance,trajectory",1,0
2,"heighten,market,participants,’",1,0
2,furthermore,1,0
2,"status-asymmetric,ties",1,1
2,"lower-status,lead,investors",1,0
2,"external,context",1,0
2,"higher-status,alters",1,0
2,"powerful,antecedent",1,0
2,"downward-status,asymmetries",1,0
2,"upward-status,asymmetries",1,0
2,"good,ventures",1,0
2,"hot,markets",1,0
2,"performance,trajectory",1,0
2,"longitudinal,analysis",1,0
2,"higher-status,actor",1,0
2,"lower-status,alters",1,0
2,"lower-status,actor",1,0
2,"venture,capital,firms",1,0
2,"market,heat",1,0
2,"higher-status,followers",1,0
2,"whereas,higher-status,firms",1,0
2,"status-asymmetric,relationships",1,0
2,"lower-status,firms",1,0
2,"venture,capital,syndication,patterns",1,0
2,"venture,’,s,performance,trajectory",1,0
2,"heighten,market,participants,’",1,0
2,furthermore,1,0
2,"status-asymmetric,ties",1,0
2,"lower-status,lead,investors",1,0
2,"external,context",1,0
2,"higher-status,alters",1,0
2,"powerful,antecedent",1,0
2,"downward-status,asymmetries",1,0
2,"upward-status,asymmetries",1,0
2,"good,ventures",1,0
2,"hot,markets",1,0
2,"performance,trajectory",1,0
2,"longitudinal,analysis",1,0
2,"higher-status,actor",1,0
2,"lower-status,alters",1,0
2,"lower-status,actor",1,0
2,"venture,capital,firms",1,0
2,"market,heat",1,1
2,"higher-status,followers",1,0
2,"whereas,higher-status,firms",1,0
2,"status-asymmetric,relationships",1,0
2,"lower-status,firms",1,0
2,"venture,capital,syndication,patterns",1,0
2,"venture,’,s,performance,trajectory",1,0
2,"heighten,market,participants,’",1,0
2,furthermore,1,0
2,"status-asymmetric,ties",1,0
2,"lower-status,lead,investors",1,0
2,"external,context",1,0
2,"higher-status,alters",1,0
2,"powerful,antecedent",1,0
2,"downward-status,asymmetries",1,0
2,"upward-status,asymmetries",1,0
2,"good,ventures",1,0
2,"hot,markets",1,0
2,"performance,trajectory",1,0
2,"longitudinal,analysis",1,0
2,"higher-status,actor",1,0
2,"lower-status,alters",1,0
2,"lower-status,actor",1,0
2,"venture,capital,firms",1,0
2,"market,heat",1,0
2,"higher-status,followers",1,0
2,"whereas,higher-status,firms",1,0
2,"status-asymmetric,relationships",1,0
2,"lower-status,firms",1,0
2,"venture,capital,syndication,patterns",1,0
2,"venture,’,s,performance,trajectory",1,0
2,"heighten,market,participants,’",1,0
2,furthermore,1,0
2,"status-asymmetric,ties",1,0
2,"lower-status,lead,investors",1,0
2,"external,context",1,0
2,"higher-status,alters",1,0
2,"powerful,antecedent",1,0
2,"downward-status,asymmetries",1,0
2,"upward-status,asymmetries",1,0
2,"good,ventures",1,0
2,"hot,markets",1,0
2,"performance,trajectory",1,0
2,"longitudinal,analysis",1,0
2,"higher-status,actor",1,0
2,"lower-status,alters",1,0
2,"lower-status,actor",1,0
2,"venture,capital,firms",1,0
2,"market,heat",1,0
2,"higher-status,followers",1,0
2,"whereas,higher-status,firms",1,0
2,"status-asymmetric,relationships",1,0
2,"lower-status,firms",1,0
2,"venture,capital,syndication,patterns",1,0
2,"venture,’,s,performance,trajectory",1,0
2,"heighten,market,participants,’",1,0
2,furthermore,1,0
2,"status-asymmetric,ties",1,0
2,"lower-status,lead,investors",1,0
2,"external,context",1,0
2,"higher-status,alters",1,0
2,"powerful,antecedent",1,0
2,"downward-status,asymmetries",1,0
2,"upward-status,asymmetries",1,0
2,"good,ventures",1,0
37,"perfect,attendance",0,1
37,"social,norm",0,1
37,"retrospective,award,suggests",0,1
37,"prospective,awards",0,1
37,"crowding-out,effect",0,1
37,contrary,0,1
37,survey,0,1
37,"target,behavior",0,1
37,"organizational,leaders,’,expectations",0,1
37,"common,types",0,1
37,"subsequent,attendance",0,1
37,"empirical,studies",0,1
37,u.s.,0,1
37,"surprise,awards",0,1
37,"significant,negative,effect",0,1
37,"awards,motivate,student,attendance",0,1
37,"retrospective,awards",0,1
37,"symbolic,awards",0,1
37,"individual,behavior",0,1
37,"prospective,incentives",0,1
37,"field,experiment",0,1
3,"practice,prevalence",1,0
3,"“,strength",1,0
3,"social,influence,pathways",1,0
3,"“,weakness",1,0
3,"complex,way",1,0
3,"negative,effect",1,0
3,"theoretical,perspective",1,0
3,"positive,effect",1,0
3,"theoretical,framework",1,0
3,"view,prevalence",1,0
3,"third-party,evaluators",1,0
3,"numbers,”,effect",1,0
3,"past,adopters",1,0
3,"controversial,practice",1,0
3,"structural,equation",1,0
3,employing,1,0
3,"potential,adopters",1,0
3,rms,1,0
3,"private,firm",1,0
3,"practice,’,s,value",1,0
3,"“,shell,company,”,—we",1,0
3,"common,prediction",1,0
3,"future,research",1,0
3,specifically,1,0
3,"past,adopters,exerts",1,0
3,"future,adopters",1,0
3,"reverse,mergers",1,0
3,"practice,diffusion",1,0
3,"practice,prevalence",1,0
3,"“,strength",1,0
3,"social,influence,pathways",1,0
3,"“,weakness",1,0
3,"complex,way",1,0
3,"negative,effect",1,0
3,"theoretical,perspective",1,0
3,"positive,effect",1,0
3,"theoretical,framework",1,0
3,"view,prevalence",1,0
3,"third-party,evaluators",1,0
3,"numbers,”,effect",1,0
3,"past,adopters",1,0
3,"controversial,practice",1,0
3,"structural,equation",1,0
3,employing,1,0
3,"potential,adopters",1,0
3,rms,1,0
3,"private,firm",1,0
3,"practice,’,s,value",1,0
3,"“,shell,company,”,—we",1,0
3,"common,prediction",1,0
3,"future,research",1,0
3,specifically,1,0
3,"past,adopters,exerts",1,0
3,"future,adopters",1,0
3,"reverse,mergers",1,0
3,"practice,diffusion",1,0
3,"practice,prevalence",1,0
3,"“,strength",1,0
3,"social,influence,pathways",1,0
3,"“,weakness",1,0
3,"complex,way",1,0
3,"negative,effect",1,0
3,"theoretical,perspective",1,0
3,"positive,effect",1,0
3,"theoretical,framework",1,0
3,"view,prevalence",1,0
3,"third-party,evaluators",1,0
3,"numbers,”,effect",1,0
3,"past,adopters",1,0
3,"controversial,practice",1,0
3,"structural,equation",1,0
3,employing,1,0
